step,train_loss,val_loss,ppl
200,3.0678,2.6103,13.60
400,2.5447,2.3399,10.38
600,2.2781,2.1214,8.34
800,2.0329,1.9505,7.03
1000,1.8199,1.8129,6.13
1200,1.6659,1.7246,5.61
1400,1.5681,1.6491,5.20
1600,1.5007,1.6111,5.01
1800,1.4464,1.5703,4.81
2000,1.4101,1.5333,4.63
2200,1.3755,1.5208,4.58
2400,1.3473,1.5034,4.50
2600,1.3260,1.5116,4.53
2800,1.3079,1.4919,4.45
3000,1.2908,1.4769,4.38
3200,1.2679,1.4680,4.34
3400,1.2559,1.4748,4.37
3600,1.2374,1.4693,4.35
3800,1.2234,1.4725,4.36
4000,1.2089,1.4803,4.39
4200,1.1959,1.4660,4.33
4400,1.1816,1.4694,4.35
4600,1.1725,1.4565,4.29
4800,1.1553,1.4566,4.29
5000,1.1456,1.4788,4.39
5200,1.1326,1.4836,4.41
5400,1.1220,1.4782,4.38
5600,1.1077,1.4922,4.45
5800,1.0988,1.4874,4.43
6000,1.0902,1.4922,4.45
6200,1.0761,1.4944,4.46
6400,1.0662,1.4982,4.47
6600,1.0557,1.4952,4.46
6800,1.0455,1.5188,4.57
7000,1.0344,1.5192,4.57
7200,1.0287,1.5212,4.58
7400,1.0214,1.5227,4.58
7600,1.0110,1.5200,4.57
7800,1.0052,1.5368,4.65
8000,0.9970,1.5558,4.74
8200,0.9903,1.5474,4.70
8400,0.9841,1.5387,4.66
8600,0.9772,1.5511,4.72
8800,0.9751,1.5585,4.75
9000,0.9691,1.5591,4.75
9200,0.9652,1.5563,4.74
9400,0.9609,1.5737,4.82
9600,0.9569,1.5646,4.78
9800,0.9524,1.5766,4.84
